character	reading	class	reference	encoding	usage
霸	bá	【汉】		U+9738	xưng hùng xưng bá, bá chủ, bá vương
杷	bà	【汉】		U+6777	tì bà
婆	bà	【汉】		U+5A46	bà ngoại, ông bà, bà già, Hai Bà Trưng, áo bà ba
琶	bà	【汉】		U+7436	tì bà
渣	bã	【訓】	https://en.wiktionary.org/wiki/b%C3%A3	U+6E23	cặn bã, bã rượu
膀	bả	【訓】	https://en.wiktionary.org/wiki/b%E1%BA%A3_vai	U+8180	bươn bả, bả vai, một bả lúa
𥸿	bả	【音】	https://en.wiktionary.org/wiki/b%E1%BA%A3#Etymology_2_2	U+25E3F	bả chuột, đánh bả
繙	bạ	【音】	https://en.wiktionary.org/wiki/b%E1%BA%A1#Etymology_1	U+7E59	bậy bạ
簿	bạ	【汉】		U+7C3F	danh bạ
伯	bác	【非】	https://en.wiktionary.org/wiki/b%C3%A1c#Etymology_1_2	U+4F2F	chú bác, Bác Hồ, bác gái
博	bác	【汉】		U+535A	bác sĩ, bác học, bác ái
搏	bác	【汉】		U+640F	bác đấu
駁	bác	【汉】		U+99C1	phản bác, bác án, bác bỏ
煿	bác	【音】	https://en.wiktionary.org/wiki/b%C3%A1c#Etymology_2_3	U+717F	bác trứng
礮	bác	【汉】		U+792E	đại bác
北	bắc	【汉】		U+5317	phương bắc, đông bắc, Bắc Ai-len
𢫣	bắc	【音】	https://en.wiktionary.org/wiki/b%E1%BA%AFc#Etymology_2_2	U+22AE3	bắc cầu
北	bấc	【非】	https://en.wiktionary.org/wiki/gi%C3%B3_b%E1%BA%A5c	U+5317	gió bấc
苝	bấc	【音】	https://en.wiktionary.org/wiki/b%E1%BA%A5c	U+82DD	cây bấc, sợi bấc, nhẹ như bấc, tiếng bấc tiếng chì
博	bạc	【非】	https://en.wiktionary.org/wiki/b%E1%BA%A1c#Etymology_3	U+535A	đánh bạc, con bạc, bài bạc, bàn bạc
