character	reading	class	reference	encoding	usage
蹸	lăn				xe lăn, lăn lóc, lăn tăn
𢭹	lấn				lấn át, lấn lối, lấn lướt
吝	lần				lần lượt, lần này, lận đận, ba lần ba là chín
𨁮	lần				lần mò, lần bước, lần theo
𤶾	lằn				nổi lằn, lằn roi
䗲	lằn				thằn lằn
悋	lẫn				lẫn lộn, lầm lẫn, lẫn vào giữa đám đông
𧼁	lẩn				lẩn tránh, lẩn trốn
爛	lạn				xán lạn
吝	lận				gian lận
𣵰	lặn				lặn lội
郎	lang				thầy lang, ngưu lang, lệnh lang, lang quân, tân lang, quan lang
狼	lang				lang tạ, loài lang sói, lòng lang dạ thú
廊	lang				hành lang
榔	lang				khoai lang, tân lang
踉	lang				lang lảng
𨄂	lang				lang bạt, lang chạ, lang thang
鸞	lang				song lang
𫉱	lang				lang ben, con bò lang
㫰	láng				láng bóng, lai láng, láng giềng
廊	làng				bản làng, làng xóm, làng giải trí, làng nhàng
凌	lâng				lâng lâng
凌	lăng				lăng trì, lăng loàn, lăng nhục
陵	lăng				lăng mộ, lăng tẩm
掕	lăng				lăng xăng, lăng nhăng
棱	lăng				lăng kính, lục lăng
稜	lăng				đinh lăng, linh lăng
鯪	lăng				cá lăng
浪	lãng				lãng phí, lãng mạn, lãng du, lãng đãng, lãng nhân, lãng tử
浪	lãng				lãng nhách, lãng xẹt
𢥉	lãng				lãng quên, xao lãng
𢠯	lắng				lắng nghe, lắng đọng, lo lắng
㖫	lằng				lằng nhằng
䗀	lằng				ruồi lằng
𬕨	lẵng				lẵng hoa
踉	lảng				lang lảng
𨅉	lảng				lảng tránh, lảng vảng, bảng lảng, đánh trống lảng
㥄	lẳng				lẳng lơ, lủng lẳng, lẳng đi, lẳng lặng
兩	lạng				nửa cân tám lạng
啢	lạng				lạng gỗ
諒	lạng				Lạng Sơn
𣼽	lặng				yên lặng, im lặng, lặng lẽ, lặng ngắt
伶	lanh				lanh lợi, long lanh, lanh trí, lanh lẹ
欞	lanh				cây lanh
𪽏	lanh				lanh lảnh
𨀌	lánh				lánh nạn, xa lánh, lấp lánh
𪸝	lánh				lóng lánh
令	lành				lành mạnh, tốt lành, trong lành, tin lành, lành tính, an lành
冷	lành				lành lạnh
冷	lãnh				lãnh đạm, lãnh cung
領	lãnh				lãnh đạo, lãnh sự, lãnh thổ, lãnh lương
嶺	lãnh				Cao Lãnh
𪽏	lảnh				lanh lảnh
冷	lạnh				đông lạnh, lạnh giá, lạnh lẽo
牢	lao				lao ngục, Ai Lao
勞	lao				công lao, lao động, cù lao
嘮	lao				lao xao
嶗	lao				cù lao
𨦭	lao				đâm lao, phóng lao, chạy lao theo, cây lao
癆	lao				bệnh lao
咾	láo				hỗn láo
老	lào				Lào Cai
𠈭	lào				người Lào, thuốc lào
嘮	lào				lào rào, lào xào
老	lão				bà lão, nguyệt lão, trưởng lão, dưỡng lão, kính lão
㧯	lảo				lảo đảo, thảo lảo
勞	lạo				uý lạo
澇	lạo				thuỷ lạo
澇	lạo				lạo xạo, lục lạo, lộn lạo
啦	láp				liếm láp, nói bá láp
垃	lấp				lấp đầy, lấp lánh
擸	lắp				lắp đặt, lắp ráp, nói lắp
十	lạp				lạp
粒	lạp				lạp thể
臘	lạp				Hi Lạp, lạp xường, ăn lạp
蠟	lạp				bạch lạp
立	lập				tự lập, độc lập, lập pháp
𤇥	lập				lập loè, nói lập bập
㕸	lặp				lặp đi lặp lại
𣋩	lát				chốc lát
𬅀	lát				gỗ lát
㗚	lất				trật lất
𢪰	lắt				lắt hoa
𡥌	lắt				chuột lắt
搮	lắt				lắt léo, lắt lẻo, lắt lay, trả lắt nợ
喇	lạt				lạt ma
樂	lạt				Đà Lạt
𤁕	lạt				lạt lẽo
𥶁	lạt				của người Bồ tát, của mình lạt buộc
𮞶	lật				lật đổ, lật bật, lật đật, lật lọng
𢳝	lặt				lượm lặt
𦰤	lau				rừng lau, lau lách
嗍	lau				lau láu
撈	lau				lau dọn, lau sạch
嗍	láu				láu lỉnh, liến láu
恅	làu				làu làu, làu bàu
𱍿	lâu				lâu dài, bao lâu, lâu quá không gặp
嘍	lâu				lâu la
樓	lâu				lâu đài, thanh lâu
髏	lâu				đầu lâu
樓	lầu				lầu đài, nhà lầu, lầu xanh, Lầu Năm Góc, mì cao lầu
陋	lậu				thô lậu, hủ lậu
漏	lậu				lậu thuế, buôn lậu, rượu lậu
瘺	lậu				bệnh lậu
𠸨	lay				lay láy
摛	lay				lung lay
𠸨	láy				láy mắt, từ láy
唻	lây				lây truyền
梨	lây				Bờ-lây-cu (Pleiku)
𥙩	lấy				lấy chồng, giữ lấy, lấy tiền, lấy độc trị độc
浰	lầy				bùn lầy, sa lầy, lầy lội
𢹿	lẫy				ba tháng biết lẫy, bóp lẫy
𡅏	lẫy				lẫy lừng, lộng lẫy
攭	lảy				thay lảy
𪭼	lẩy				lẩy móng tay, run lẩy bẩy
𥚄	lạy				lạy chúa
𠻗	le				song le, lăm le
𪅆	le				chim le le
嚟	lè				lè lưỡi, lè tè, xanh lè
梨	lê				quả lê, dưa lê, tuyết lê
璃	lê				pha lê
黎	lê				Nhà Tiền Lê, họ Lê, lê-dương
𠠍	lê				kéo lê, lê thê, lê lết, lê la
藜	lê				hoắc lê
𨤰	lẽ				lẽ phải, có lẽ, lí lẽ, lẽ ra
𡤠	lẽ				vợ lẽ, lẽ mọn
例	lề				lề thói
𦃾	lề				bản lề, lề đường
禮	lễ				lễ hội, hôn lễ, buổi lễ, miễn lễ, đa lễ, lễ bái
禮	lễ				lễ mễ
𥛭	lẻ				lẻ loi, riêng lẻ, số lẻ
𣠲	lể				kể lể, lể gai
厲	lẹ				lẹ làng, lanh lẹ
例	lệ				lệ thường, lệ cấm, tiền lệ, điều lệ, thông lệ, ngoại lệ
荔	lệ				lệ chi, bệ lệ
淚	lệ				giọt lệ, rơi lệ
厲	lệ				lệ hại
勵	lệ				khích lệ
隸	lệ				lệ thuộc, nô lệ
麗	lệ				tráng lệ, e lệ, mĩ lệ, diễm lệ, hoa lệ
𨘸	lếch				lếch thếch
儮	lệch				nghiêng lệch, chênh lệch
𩽏	lệch				cá lệch
濂	lem				lem luốc, lem nhem
蘝	lem				lem lém
𡄥	lem				
蘝	lém				lém lỉnh
𠿳	lèm				lèm nhèm
𡄥	lẻm				lem lẻm
歛	lẹm				lẹm cằm, sắc lẹm
𥉬	len				len lét
縺	len				áo len
蹥	len				len chân, len lỏi
𨇍	len				len lén
𥌦	lén				lén lút, nghe lén
𨇍	lén				len lén
𬨠	lên				lên trên, đi lên, tăng lên
𢤠	lẽn				bẽn lẽn
𨇍	lẻn				cất lẻn, lẻn tròn
練	lẹn				lanh lẹn
鈴	leng				leng keng, leng beng
泠	lênh				lênh đênh
泠	lềnh				lềnh sềnh, lềnh bềnh
令	lệnh				khẩu lệnh, tư lệnh, mệnh lệnh, đánh lệnh, lệnh ái, lệnh lang
𣱾	leo				leo lẻo
蹽	leo				giời leo, leo lét
𩻻	leo				cá leo
嘹	léo				khéo léo
膫	lèo				nước lèo
繚	lèo				lèo lái, lèo nhèo, dây lèo, giữ lèo, lèo thưởng
𠖭	lẽo				lạnh lẽo, lạt lẽo
𣱾	lẻo				lỏng lẻo, leo lẻo, mách lẻo, lắt lẻo, hớt lẻo, lẻo mép
瞭	lẹo				lẹo mắt, chuối lẹo, lươn lẹo, lẹo tẹo
𥼕	lép				lép kẹp
𥉬	lét				leo lét
𨀺	lết				lê lết
哷	lẹt				khét lẹt
咧	lệt				lệt bệt, lệt sệt
𡃔	lêu				lêu!, lêu lổng, bị các bạn lêu vì ngủ nhè
寮	lều				túp lều, lều trại
狸	li				hồ li, hải li
漓	li				lâm li
璃	li				li rượu, lưu li
罹	li				li nạn
釐	li				li ti, sai một li đi một dặm
離	li				li hôn, li khai, phân li, cự li
李	lí				hành lí, đào lí, nhà Lí, họ Lí
里	lí				hải lí, thiên lí, hương lí
哩	lí				lí nhí
理	lí				quản lí, lí thuyết, lí lẽ
履	lí				lí lịch
利	lì				lì xì
唎	lì				lì lợm, lầm lì, trơ lì, phẳng lì
痢	lị				bệnh lị, kiết lị
蒞	lị				tỉnh lị
攡	lia				thia lia, lia lịa, lia mảnh sành xuống ao
離	lìa				xa lìa
攡	lịa				lia lịa
歷	lịch				lịch sử, lịch đại, lí lịch, lịch sự, du lịch
曆	lịch				âm lịch, tây lịch, lịch pháp
儮	lịch				
𩽏	lịch				
𥆁	liếc				liếc xem, liếc mắt, liếc dao
廉	liêm				thanh liêm
鐮	liêm				câu liêm
𦧷	liếm				liếm láp, liếm mép
鐮	liềm				lưỡi liềm, bứt cỏ bằng liềm
殮	liệm				khâm liệm, liệm người, nhập liệm
連	liên				liên tục, liên quan, liên kết, liên miên, hoàng liên
蓮	liên				bạch liên
聯	liên				liên hợp, liên bang
嗹	liến				liến thoắng, liến láu, liến khỉ, thằng bé liến
連	liền				đất liền, mì ăn liền, nhà liền vách
璉	liễn				liễn cơm, liễn sành
聯	liễn				đối liễn
靈	liêng				thiêng liêng
另	liếng				vốn liếng, lúng liếng
冷	liểng				xiểng liểng
𩙳	liệng				bay liệng, liệng đá, cánh én liệng vòng
䉭	liếp				liếp nhiếp
列	liệt				la liệt, hệ liệt
劣	liệt				ác liệt
冽	liệt				lẫm liệt
烈	liệt				kịch liệt, trung liệt, nhiệt liệt, liệt sĩ, quyết liệt
裂	liệt				phân liệt
𩷈	liệt				cá liệt
𬏩	liệt				tê liệt, bại liệt
僚	liêu				quan liêu, liêu hữu, liêu thuộc
寥	liêu				tịch liêu
遼	liêu				Bạc Liêu
料	liều				liều thuốc, liều lượng
憭	liều				liều lĩnh, liều mạng
了	liễu				kết liễu
柳	liễu				dương liễu, hoa liễu
料	liệu				dự liệu, chất liệu, dữ liệu, nguyên liệu, lo liệu, liệu hồn
療	liệu				trị liệu
𥋲	lim				lim dim
𠿳	lìm				im lìm
殮	lịm				ngất lịm
伶	linh				linh lợi
泠	linh				Mê Linh
苓	linh				phục linh, linh lăng
玲	linh				lung linh
蛉	linh				minh linh
羚	linh				linh dương
零	linh				phiêu linh, linh tinh
靈	linh				linh mục, linh hồn, tâm linh, linh cảm, linh đình, linh bài
𪜯	lính				binh lính, quân lính, lính tráng, lính quýnh
𥘃	lình				thình lình
紷	lĩnh				vải lĩnh, quần lĩnh
領	lĩnh				nhận lĩnh, lĩnh lương, chiếm lĩnh, tướng lĩnh, lĩnh vực, liều lĩnh
嶺	lĩnh				Hồng Lĩnh, Lĩnh Nam
𰈼	lỉnh				láu lỉnh, lém lỉnh, lỉnh kỉnh
令	lịnh				
㕸	líp				Phi-líp-pin(bin)
𡊻	lít				lít nhít, một lít, mi-li-lít
列	lịt				lịt khịt
𠮩	líu				líu lo
料	lìu				húng-lìu
嚧	lo				líu lo
𢥈	lo				nỗi lo, lo lắng
𥌧	ló				lấp ló, ló dạng, ló mắt ra
穭	ló				
爐	lò				cái lò, bếp lò
倮	lô				người Lô Lô
盧	lô				có hàng lô chi tiết, một lô trẻ con, dẫn nước vào từng lô ruộng, vé lô
蘆	lô				hồ lô, lô hội
𠐔	lố				lố bịch, lố lăng, một lố cam
路	lồ				khổng lồ
露	lồ				loã lồ, lồ lộ
魯	lỗ				thô lỗ
𡓇	lỗ				lỗ chỗ, ăn lông ở lỗ, lỗ lãi
閭	lơ				xanh lơ, lơ xe
𢣻	lơ				lơ lửng, lơ là, lơ ngơ, lơ đễnh
瀂	lổ				loang lổ, trẻ con ở lổ
𡀔	lọ				lọ là
𤮗	lọ				chai lọ, lọ nghẹ
𠐳	lờ				lờ lợ
𢣻	lờ				tảng lờ
籚	lờ				thả lờ
𢙲	lỡ				lỡ làng, lỡ chân, bỏ lỡ
賂	lộ				hối lộ
路	lộ				quốc lộ, lộ trình, lộ diện
露	lộ				lộ ra, lộ hầu, lộ chân tướng, vũ lộ
𡋿	lở				vỡ lở, đất lở
𠭤	lở				
𠐳	lợ				lờ lợ, củ cà-rốt này lợ
𠼱	loa				qua loa
螺	loa				gọi loa, cái loa
𤆷	loá				loá mắt, chói loá
𥉹	loà				sáng loà, mù loà, loà mắt, loà xoà
裸	loã				loã lồ
夥	loã				đồng loã
𤁖	loã				loã máu, loã nước
𠯿	loạc				loạc choạc
類	loai				loai nhoai
類	loài				loài người, loài vật, giống loài
類	loại				thể loại, đồng loại, chủng loại
𤄹	loại				loại bỏ, loại ra
關	loan				loan báo
欒	loan				đoàn loan
灣	loan				Đài Loan
鸞	loan				chim loan, loan phượng
亂	loàn				lăng loàn
彎	loăn				loăn xoăn
亂	loạn				loạn thế, loạn thần, hỗn loạn, nhiễu loạn
𰺽	loang				loang ra, vết dầu loang, vải nhuộm bị loang
𤈛	loang				loang loáng
𤈛	loáng				loáng thoáng, sáng loáng
灤	loáng				loáng choáng
𠌇	loàng				loàng xoàng
浪	loăng				loăng quăng
𣿅	loãng				pha loãng, cháo loãng, loãng xương
啷	loằng				loằng ngoằng
𬂆	loảng				loảng soảng
𨃹	loạng				loạng choạng
𨗺	loanh				loanh quanh
刷	loát				lưu loát, ấn loát
傈	loắt				loắt choắt
刷	loạt				một loạt, cả loạt
唰	loạt				loạt xoạt
摞	loay				loay hoay
𠯿	lóc				lóc cóc, khóc lóc
䱚	lóc				cá lóc
𫼚	lóc				lóc thịt, lăn lóc
椂	lốc				lúa lốc, lốc cốc, một lốc sữa, một lốc lịch
𪋖	lốc				cơn lốc
漉	lọc				nước lọc, giấy lọc, chọn lọc
𦬩	lộc				lộc biếc, đâm chồi nẩy lộc
鹿	lộc				lộc nhung, cưỡi lộc
祿	lộc				bổng lộc, phúc lộc
𭊛	lộc				lộc cộc
傫	loe				loe loét
𤑬	loé				lấp loé, tia chớp loé lên
𤍶	loè				lập loè, nó ăn diện bảnh bao để lòe thiên hạ
𤷯	loét				lở loét, bị loét ra, mụn lở loét to
𩁦	loi				lẻ loi
𤑭	lói				le lói
𤞖	lòi				lợn lòi
䋘	lòi				lòi ra, lòi tói
雷	lôi				địa lôi, ngư lôi, lôi vũ
擂	lôi				lôi kéo, lôi thôi
𪆼	lôi				gà lôi
𣑳	lõi				cốt lõi
𡓃	lối				đường lối, vô lối, nói lối
𡋃	lồi				lồi lõm, lồi mắt
磊	lỗi				lỗi lạc
纇	lỗi				lầm lỗi, xin lỗi, tha lỗi
𣢹	lỏi				bỏ lỏi, tốt lỏi
𨇒	lỏi				len lỏi
𩭷	lơi				lả lơi, buông lơi kỉ luật
𥑶	lọi				chói lọi, lục lọi, lọi chân
𭇶	lới				mánh lới
利	lời				lời lãi, một vốn bốn lời
𠳒	lời				lời nói
洡	lội				lặn lội
蕾	lội				hoa lội
利	lợi				lợi tức, ích lợi
俐	lợi				lanh lợi
𪘌	lợi				răng lợi
𦡶	lom				lom khom
𦗝	lóm				
㘕	lòm				đỏ lòm, bưởi chua lòm
𡔑	lõm				lồi lõm, lõm bõm, lõm vào
𤒢	lốm				lốm đốm
藍	lồm				thồm lồm
𦗝	lỏm				nghe lỏm, học lỏm
覽	lổm				lổm ngổm
㘕	lờm				lờm xờm
礷	lộm				lộm cộm
𡾭	lởm				lởm chởm
呾	lợm				lợm giọng, lì lợm
㖮	lon				lên lon, lon ton
錀	lon				lon thiếc
掄	lòn				
崙	lôn				Côn Lôn
𪵅	lốn				hồ lốn, lốn nhốn
腀	lồn				cái lồn gì thế?
𫐮	lỏn				lỏn vào, lỏn ra
侖	lổn				lổn nhổn
𡘯	lớn				lớn lao, to lớn, lớn mạnh
𪵅	lộn				vật lộn
瀨	lởn				lởn vởn
𤞼	lợn				lợn lòi, lợn rừng
隆	long				long trọng
𣿅	long				long lỏng
龍	long				khủng long, giao long, long nhãn
儱	long				long lanh, long nhong, long tong
攏	long				răng long, long đong
㑝	lóng				tiếng lóng
梇	lóng				
𬊊	lóng				lóng lánh
挵	lòng				lòng khòng, lòng thòng
𢚸	lòng				tấm lòng, lòng ruột, vui lòng, vừa lòng
𣯡	lông				lông lá, lông chim, cầu lông
𨁦	lõng				lạc lõng
哢	lồng				lồng tiếng, lồng lộn
𣼰	lồng				lồng lộng
籠	lồng				lồng ngực
挵	lỏng				lỏng khỏng
𣿅	lỏng				lỏng lẻo, lỏng chỏng, bỏ lỏng, thả lỏng, nới lỏng, chất lỏng, long lỏng
𭍌	lổng				lổng chổng, lêu lổng
𢃈	lọng				tàn lọng, dù lọng
弄	lộng				lộng quyền
𣼰	lộng				lộng lẫy, lồng lộng
苙	lóp				lóp lép
笠	lớp				lớp học, lên lớp, bạn cùng lớp
𡂏	lộp				lộp bộp, lộp cộp
菈	lợp				lợp nhà, lợp mũ
䘹	lót				áo lót
葎	lốt				lá lốt, rắn thay lốt, sói đội lốt cừu
𢯰	lọt				lọt lòng, lọt thỏm, bánh lọt
𣼷	lớt				lớt phớt
蛻	lột				lột xác, bóc lột
濼	lợt				
瞜	lu				lu mờ
罏	lu				lu nước, cái lu
屢	lú				lú lẫn ・ 𫇿屢 thuốc lú
瀘	lù				lù lù, lù xù
褸	lũ				lam lũ
𬉆󠄁	lũ				nước lũ, lũ lụt, lũ lượt, bè lũ, một lũ người
婁	lủ				lủ khủ lù khù
攎	lư				lắc lư
爐	lư				lư hương
𡃖	lừ				lừ khừ, lừ đừ, lừ mắt, mệt lừ, ngọt lừ
侶	lữ				bạn lữ
旅	lữ				lữ đoàn, lữ hành
㾔	lử				lử thử lử thừ
泐	lự				người Lự
慮	lự				tư lự, lưỡng lự, trí lự
穭	lúa				đồng lúa, cấy lúa, lúa má
摟	lùa				lùa vào, lùa súc vật tản mát lại
盧	lưa				lưa thưa, còn lưa bao nhiêu?
𫄎	lụa				lụa vân
侶	lứa				lứa đôi, cùng lứa
驢	lừa				con lừa, lừa ngựa, lừa chở hàng
𬐸	lừa				lừa đảo, đánh lừa, lừa lọc, lừa dối
呂	lữa				lần lữa
焒	lửa				tên lửa, lửa bếp
攄	lựa				lựa chọn, lựa ra, lựa lời
倫	luân				luân lí
淪	luân				trầm luân
綸	luân				kinh luân
輪	luân				luân lưu, luân phiên, luân hồi
綸	luấn				luấn quấn
踚	luẩn				luẩn quẩn
論	luận				thảo luận, bàn luận
律	luật				luật lệ, luật sư
𣅶	lúc				một lúc, lúc này, lúc hoàng hôn, lúc lạnh lúc nóng
六	lục				súng lục, đàn tam thập lục, lục giác
陸	lục				lục địa, đại lục, châu lục, lục quân, lục tục
綠	lục				xanh lục, rắn lục, lục soạn
磟	lục				lục lạo, lục soát, lục đục, lục lạc, lục lọi
錄	lục				sao lục, kỉ lục, lục sự
𩺮	lục				cá lục
溧	lức				Bến Lức
𫦨	lức				gạo lức, thơm lức
力	lực				áp lực, lực điền
𨆢	lui				lui tới
𨇒	lui				lui lủi
𤈞	lùi				lùi khoai
𨀤	lùi				đi lùi, lùi bước
磊	lũi				lầm lũi
𨇒	lủi				lủi mất, chui lủi, lủi thủi
𥟹	lụi				tàn lụi, lụi bại, lụi cụi, lụi cá
𮎫	lụi				cây lụi
𦡶	lum				lum khum
𡄁	lúm				lúm đồng tiền
菻	lùm				lùm cây, đầy lùm, lùm lùm
𣼍	lún				lún xuống, sụt lún, lún phún
𠍓	lùn				lùn thấp
侖	lủn				lủn mủn
論	lụn				lụn vụn
瓏	lung				lung linh
朧	lung				mông lung
籠	lung				lung lạc
𭟬	lung				lung lay, lung tung
𢤲	lúng				lúng túng
𨓡	lùng				truy lùng
𣼰	lùng				lạnh lùng
蘢	lùng				cỏ lùng
壟	lũng				lũng đoạn
竉	lủng				lủng lẳng, lủng củng, lủng một chỗ
𠦻	lưng				lưng bát cơm, lưng túi gió trăng
𨉞	lưng				sau lưng, dây lưng
弄	lụng				làm lụng
淩	lừng				lẫy lừng, vang lừng
𠻴	lững				lững lờ, lững thững
𤠸	lửng				lửng chó, lửng mật
𠻴	lửng				lơ lửng
溽	luốc				
𤊒	luộc				luộc chín, luộc rau
略	lược				yếu lược, tỉnh lược, xâm lược, chiến lược, sơ lược
𥳂	lược				cái lược, lược chải đầu
䋥	lưới				lưới gai, mạng lưới
𢜞	lười				lười biếng
𦧜	lưỡi				lưỡi hái, lưỡi câu, tặc lưỡi
濫	luôm				luôm nhuôm
懢	luộm				luộm thuộm
襤	lươm				lươm bươm
𢹦	lượm				thu lượm, lượm lặt
㫻	luôn				luôn luôn
掄	luồn				luồn lách
𧐖	lươn				con lươn, lươn lẹo
𫅤	lượn				bay lượn, dù lượn, uốn lượn, lượn lờ
㳥	luông				luông tuồng
隴	luống				luống rau, luống cuống
嚨	luồng				luồng nước, luồng gió
蠬	luồng				thuồng luồng
良	lương				lương thiện, lương tâm, cải lương, lương tri, bất lương, bên lương bên giáo
涼	lương				thanh lương, áo lương, thê lương
梁	lương				lương đống
粱	lương				cao lương, cao lương mĩ vị
糧	lương				lương thực, lương bổng, tiền lương, quân lương
量	lường				đo lường, khôn lường
兩	lưỡng				lưỡng cực, lưỡng lự
倆	lưỡng				kĩ lưỡng
兩	lượng				một lượng bằng 37,5 gam
量	lượng				số lượng, chất lượng, lực lượng, lượng từ, lượng tử, thử lượng xem thửa ruộng kia sản xuất được bao nhiêu ki-lô-gam thóc
諒	lượng				lượng thứ, có lượng đối với người hối lỗi
魎	lượng				si mị võng lượng
𦂻	luốt				tuốt luốt
迾	lướt				lấn lướt, lả lướt
𦀎	lượt				lần lượt, lượt là
𧙀	lúp				kính lúp
㡴	lụp				lụp xụp, lụp chụp, lụp bụp
茟	lút				lút đầu
𣼧	lụt				lũ lụt, lụt lội, nạn lụt, lụt nghề
留	lưu				lưu lại, bảo lưu, tồn lưu, lưu niệm, lưu ban
流	lưu				giao lưu, lưu hành, trào lưu, lưu manh, lưu đày, lưu loát
琉	lưu				lưu li, Lưu Cầu
硫	lưu				lưu hoàng
劉	lưu				họ Lưu
榴	lựu				lựu đạn, thạch lựu, quả lựu
累	luý				tuý luý
累	luỹ				tích luỹ, luỹ thừa, luỹ tiến
壘	luỹ				chiến luỹ, chướng luỹ, dinh luỹ, đồn luỹ, hào luỹ, thành luỹ
累	luỵ				liên luỵ, hệ luỵ, quỵ luỵ, để luỵ cho gia đình
喧	luyên				luyên thuyên
戀	luyến				lưu luyến, quyến luyến, luyến ái, luyến tiếc, tự luyến
練	luyện				tập luyện, huấn luyện
鍊	luyện				tôi luyện, luyện thép, luyện gang
迷	ma				Buôn Ma Thuột
麻	ma				ma hoàng, ma tuý
嘛	ma				lạt ma
摩	ma				ma sát, Ma Kết
魔	ma				ác ma
䔍	má				rau má
媽	má				ba má
𦟐	má				má hồng, gò má, má lúm đồng tiền
𥡗	má				giống má, lúa má, chó má, thuế má
𣻕	mà				mặn mà
𦓡	mà				nhưng mà
馬	mã				hải mã, tẩu mã, nhân mã, mã lai
瑪	mã				mã não
碼	mã				mã số, mã hoá, mật mã
𦄀	mã				đốt mã, đồ mã, mã lửa, tốt mã, nó thì được cái mã thôi
𡏢	mả				cải mả, mồ mả, cải mả
罵	mạ				nhục mạ, lăng mạ
𥢂	mạ				lúa mạ
𨬈	mạ				mạ vàng
莫	mác				rau mác, man mác
𢨃	mác				giáo mác, thanh mác
縸	mắc				mắc cửi, khúc mắc, mắc nạn, vướng mắc, mắc kẹt, mắc (mắt) mỏ
莫	mạc				mạc đại, họ Mạc
幕	mạc				khai mạc, bế mạc, mạc phủ
漠	mạc				sa mạc, hoang mạc, mộc mạc, làng mạc
摹	mạc				mạc chữ, mạc tranh
墨	mặc				thuỷ mặc
默	mặc				trầm mặc
嚜	mặc				mặc kệ, mặc cả
𬡶	mặc				mặc áo, ăn mặc
𠼽	mách				mách lẻo
脈	mạch				đoản mạch, động mạch, huyết mạch, mạch máu, phòng mạch
麥	mạch				lúa mạch, yến mạch, kiều mạch, hắc mạch
枚	mai				hàm mai, súng hoả mai, mỉa mai, mảnh mai
埋	mai				mai phục, mai một
梅	mai				hoa mai, ô mai
𣈕	mai				ngày mai, chiều mai, sương mai
媒	mai				bà mai, mai mối
𠃅	mai				mai mái
𨨦	mai				cái mai, mai rùa, mai thuyền, mai mực
𠃅	mái				mái nhà, mái tóc, mái chèo
㜥	mái				sống mái, gà mái
𥕄	mài				miệt mài, sơn mài, đá mài
買	mãi				khuyến mãi, chiêu binh mãi mã
𫡠	mãi				mãi mãi
𬏽	mải				mải miết, mải mê
賣	mại				thương mại, mại dâm, mại quốc
䁲	mại				mắt có mại
𫙽	mại				cá mại
鎫	mâm				mâm cơm, mâm xôi, mâm thau
𡕩	măm				Rơ Măm
𦹰	mầm				mầm non
𩻐	mắm				nước mắm
𦟣	mẫm				mẫm mạp
𢠧	mẩm				chắc mẩm
𠖾	man				man mát
萬	man				cơ man, một man
漫	man				man mác, man man, lan man, mê man
瞞	man				khai man, man trá
蠻	man				dã man, man rợ, man dại, miên man
幔	màn				mở màn, màn đêm
玟	mân				mân côi
抿	mân				mân mó, mân mê
緍	mân				
滿	mãn				mĩ mãn, sung mãn, mãn ý, mãn nguyện, nhìn mãn nhãn
緍	mấn				mũ mấn
㨉	mần				mần việc, tần mần
慜	mắn				mắn đẻ, mắn con, may mắn, mau mắn
慢	mằn				muộn mằn
𪉽	mằn				mằn mặn
敏	mẫn				cần mẫn, mẫn cảm, mẫn cán
𢠨	mẩn				mê mẩn
墁	mạn				mạn ngược, mạn xuôi
蔓	mạn				chè mạn
漫	mạn				lãng mạn
慢	mạn				khinh mạn, mạn phép
𫇞	mạn				mạn thuyền
槾	mận				cây mận, mận đào
𪉽	mặn				mặn nồng
忙	mang				hoang mang
茫	mang				mênh mang
𠴏	mang				mang máng
𤞽	mang				con mang con nai
𦛿	mang				có mang, mang thai
𧋽	mang				mang tai, rắn hổ mang
𫼳	mang				mang đi, mang vác
𠴏	máng				mang máng
𣙷	máng				máng nước, máng xối
芒	màng				mùa màng, mỡ màng, muộn màng
恾	màng				không màng danh lợi, mơ màng
𩓜	màng				màng nhĩ, màng trinh, màng óc, màng nhện
笀	măng				măng tây, xáo măng, xi-măng
𩷶	măng				cá măng
杧	mãng				cây mãng cầu
蟒	mãng				mãng xà, áo mãng
𠻵	mắng				thét mắng, mắng nhiếc, chửi mắng, mắng chửi, quát mắng
莽	mảng				mảng da, mảng nghe, mảng quên
命	mạng				mạng người, cách mạng, sinh mạng, thiệt mạng, liều mạng
𦁸	mạng				mạng nhện, thêu mạng, mạng quần áo
盲	manh				manh động
氓	manh				lưu manh
萌	manh				manh nha, manh tâm, manh mối
𥯋	manh				manh áo, mong manh, manh giấy
𬔽	mánh				mánh khoé, mánh lới
𢅆	mành				mành mành, thuyền mành
猛	mãnh				mãnh liệt, dũng mãnh
𫙍	mãnh				ông mãnh
𤗖	mảnh				mảnh dẻ, mảnh vỡ, thanh mảnh, mảnh mai
命	mạnh				
孟	mạnh				Mạnh Tử
猛	mạnh				mạnh mẽ, sức mạnh, mạnh khoẻ
毛	mao				lông mao, hồng mao
旄	mao				cờ mao
𠰭	máo				mếu máo
𦙤	mào				khơi mào
卯	mão				giờ Mão, Tân Mão
冒	mạo				mạo hiểm, mạo danh
帽	mạo				cái mạo, mũ mạo
貌	mạo				dung mạo
𠸾	mấp				mấp mô
䏜	mạp				mập mạp
𦚖	mập				mập mạp
眨	mập				mập mờ
𩶟	mập				cá mập
𠖾	mát				gió mát, mát mẻ
𬟼	mát				con mát (mạt)
𠅒	mất				quên mất, mất tích, mất mát
蜜	mất				
眜	mắt				tai mắt, nước mắt
末	mạt				mạt kiếp, mạt hạng, rẻ mạt
抹	mạt				mạt sát
麻	mạt				mạt chược
𬟼	mạt				mạt gà
密	mật				mật độ, bí mật, thân mật, bảo mật
蜜	mật				mật ong, mật nguyệt, trăng mật, đường mật
𦟽	mật				gan mật, túi mật, nằm gai nếm mật
𩈘	mặt				mặt mày, bề mặt, mặt trăng, mặt nước
